clave,gib_16_urbano,gib_18_urbano,gib_16_rural,gib_18_rural,grupo,grupo2,uno_u,uno_r,gto_u,gto_r,num_u,num_r,pje_gasto_r,pje_gasto_u
J045,0.268746791419608,0.298228433761914,0.426770408752891,0.473587312079145,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
K022,0.48706630638628,0.530265596471459,,,K,Enseres domésticos y mantenimiento de la vivienda,1,,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
E004,45.8689037071195,50.4980193851726,31.0596641014935,34.1942229513265,E,"Educación, cultura y recreación",1,1,222.964744106924,114.123593966923,13,12,4.92639546162431,6.70490479049148
D004,3.86934433371481,4.275888170803,3.63776702620193,4.01997952468101,D,Cuidados personales,1,1,166.415436316109,154.803638066221,14,15,6.68243886740365,5.00437708498219
E016,4.67798047540533,5.14020250120263,2.9197974999542,3.20829693308401,E,"Educación, cultura y recreación",1,1,222.964744106924,114.123593966923,13,12,4.92639546162431,6.70490479049148
H040,4.25987961031757,4.42615257738944,4.2431998035198,4.40882171910192,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H041,2.76915846977795,2.8772451382244,2.17685210196365,2.26181968109276,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H044,1.59162256463268,1.65374727952815,1.18669072659395,1.23301001402863,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H048,0.577198745378989,0.609284065196726,0.6632694821433,0.700139301473795,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H049,0.581935533058953,0.633020850904671,0.751605741463241,0.817585589773048,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H050,0.402120140651337,0.437420331188521,0.499410786535907,0.543251654323546,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H057,8.33018620056165,9.01614444648948,3.34283625096638,3.61810573905804,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H063,0.709003103424331,0.796950797116993,,,H,"Prendas de vestir, calzado y accesorios",1,,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H077,1.70511147217398,1.85806388445881,1.11081008378198,1.21045229760637,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H103,0.560604228070337,0.58977125066687,0.358505569014556,0.37715783653031,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
J018,5.93802916509669,6.45100422835201,,,J,Cuidados de la salud,1,,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
L001,0.0638928169022896,0.0623224995648326,,,L,Artículos de esparcimiento,1,,13.0625484430197,3.52088070651769,8,3,0.151986544855366,0.392811625813043
E001,22.2970679424568,24.5007398551813,8.55087507990227,9.39597826976683,E,"Educación, cultura y recreación",1,1,222.964744106924,114.123593966923,13,12,4.92639546162431,6.70490479049148
H034,0.646639829288862,0.712723581739973,0.724245661060227,0.798260388906376,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H129,0.811408761341533,0.858688146127747,,,H,"Prendas de vestir, calzado y accesorios",1,,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
J065,6.29572520719795,6.85874126640633,2.20611013698501,2.40339883600334,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
J039,3.12836366011111,3.41203968814632,6.48511670338175,7.07317881752061,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
J057,0.506807264080515,0.590435111596834,0.564070788642652,0.657147642990033,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
E003,31.7886311057159,34.7723561121298,17.8281950451041,19.5015741597441,E,"Educación, cultura y recreación",1,1,222.964744106924,114.123593966923,13,12,4.92639546162431,6.70490479049148
B003,4.29129838630486,4.33180877090128,,,B,Transporte público,1,,199.872191676205,168.940150568105,5,3,7.29267246250636,6.01047497811203
D021,0.683589432116296,0.740053761983532,0.751346693696378,0.813407757785959,D,Cuidados personales,1,1,166.415436316109,154.803638066221,14,15,6.68243886740365,5.00437708498219
H036,0.577477463001484,0.609578276172468,0.663621907709658,0.700511317670069,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H096,5.45476611483596,5.73856576985793,6.67878565127628,7.02626838910489,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H104,5.50923073942541,5.97211827294731,4.60080419949666,4.98736541082547,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
E019,0.218137201892137,0.231473694646315,,,E,"Educación, cultura y recreación",1,,222.964744106924,114.123593966923,13,12,4.92639546162431,6.70490479049148
E023,2.01483523712105,2.27529606286226,,,E,"Educación, cultura y recreación",1,,222.964744106924,114.123593966923,13,12,4.92639546162431,6.70490479049148
H033,0.48893287990494,0.515722991416893,0.572615306755994,0.603990631574458,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H128,5.01371676213389,5.31171497967354,4.44726210884102,4.71159219453222,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
J053,0.477915349429347,0.544771117871327,0.424305337936789,0.483661580534291,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
J024,0.520721969267424,0.584248874769287,0.572236802293475,0.642048401207053,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
J029,0.460832163482944,0.525298158243774,0.451992713932024,0.515222154577075,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
J021,1.03226976713218,1.14551021891435,0.868650470356308,0.963941812635204,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
D016,14.6434195930942,16.3826298721727,17.1116787745827,19.1440461070793,D,Cuidados personales,1,1,166.415436316109,154.803638066221,14,15,6.68243886740365,5.00437708498219
H015,0.628348754336867,0.664345876762164,,,H,"Prendas de vestir, calzado y accesorios",1,,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H020,0.307907610717455,0.325547158631215,0.268969701522881,0.284378557206271,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H021,0.17226400468031,0.182132741465654,0.24701343329195,0.261164448532343,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
N002,10.5847265955221,11.2482088539383,9.99174392301244,10.6180562574625,N,Otros gastos,1,1,11.2482088539383,17.7636193272653,1,3,0.766805623570049,0.338251546141539
D008,1.84566792012464,1.99750332532373,,,D,Cuidados personales,1,,166.415436316109,154.803638066221,14,15,6.68243886740365,5.00437708498219
D018,0.345781902993714,0.374343408651157,0.438511395029528,0.474732335401346,D,Cuidados personales,1,1,166.415436316109,154.803638066221,14,15,6.68243886740365,5.00437708498219
H009,0.206848222316649,0.218346499850849,0.207689777895636,0.219234835815471,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H081,0.94236433942527,1.01041783890954,0.316494999331095,0.339350906937795,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H084,1.35066726458742,1.42093955411728,1.7734061953813,1.86567267498236,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H135,0.625180153478133,0.686991726505759,0.665218889696534,0.73098909329477,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H018,0.127829551990469,0.135483847252083,0.119501634236492,0.126657262793805,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H023,0.189637344380988,0.200178903752977,0.186586692499648,0.196958672256212,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H027,0.365827484864658,0.386785172244988,,,H,"Prendas de vestir, calzado y accesorios",1,,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H109,1.86019972749626,1.98539279311112,2.34074015438895,2.49827401024548,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
H130,0.605605952338394,0.656166316981851,0.90694618033257,0.982664606501509,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
J055,1.01324578900134,1.14489145429607,0.742061931059062,0.838474112253951,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
K027,1.48764441859109,1.52757699440627,2.03764523151833,2.09234138180477,K,Enseres domésticos y mantenimiento de la vivienda,1,1,32.0929336197309,21.4205451546647,17,11,0.924664854719204,0.965085602343787
H124,0.845614151982631,0.895874571940992,0.536399530207495,0.568281288087832,H,"Prendas de vestir, calzado y accesorios",1,1,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
J032,1.56609589341674,1.82451608162813,1.68809132604957,1.96664187970948,J,Cuidados de la salud,1,1,91.198288910526,85.6673712831968,63,62,3.69802014140164,2.74247772512221
H071,1.12437463947098,1.18735433622102,,,H,"Prendas de vestir, calzado y accesorios",1,,219.725629137589,150.393916903284,103,100,6.49208357303381,6.60749944705103
